City,Country,CountryCode,DepartmentNameNative,InstituteNameHEPnew,InstituteNameHEPold,InstituteNameNative,Latitude,Longitude,ZIPcode,recid,LatitudeCity,LongitudeCity
Denver,USA,US,,,"Martin Marietta, Denver",,39.679003,-104.963124,80210,905615,39.7392358,-104.990251
Newark,USA,US,Bartol Research Institute,"U. Delaware, Newark, Bartol Res. Inst.","Delaware U., Bartol Inst.",University of Delaware,39.683611,-75.75,19711,902662,40.735657,-74.1723667
Newark,USA,US,Department of Physics and Astronomy,"U. Delaware, Newark, Dept. Phys. Astron.",Delaware U.,University of Delaware,39.683611,-75.75,19716,902766,40.735657,-74.1723667
Glassboro,USA,US,,,"Rowan U., Glassboro",,39.7028923,-75.1118422,,911711,39.7028923,-75.1118422
Glassboro,USA,US,,,Rowan Coll.,,39.706823,-75.117247,8028,906748,39.7028923,-75.1118422
Lakewood,USA,US,,,Colorado Christian U.,,39.713421,-105.100097,80226,907160,33.8536269,-118.1339563
Springfield,USA,US,,,Lincoln Land Community Coll.,,39.720565,-89.614771,62794,909709,42.1014831,-72.589811
Golden,USA,US,Department of Physics,"Colorado Sch. Mines, Dept. Phys.",Colorado School of Mines,Colorado School of Mines,39.730548,-105.191528,80401,902746,39.755543,-105.2210997
Golden,USA,US,,,"Western Area Power Admin., Golden",,39.730548,-105.191528,80401,1241219,39.755543,-105.2210997
Chico,USA,US,,,"Cal State, Chico",,39.735769,-121.8504463,95929,904905,39.7284944,-121.8374777
Denver,USA,US,,,"Geological Survey, Denver",,39.739167,-104.984167,80225,903872,39.7392358,-104.990251
Denver,USA,US,,,"Lockheed, Denver",,39.739167,-104.984167,80201,910313,39.7392358,-104.990251
Dayton,USA,US,,,Dayton U.,,39.7395406,-84.1787904,45469,909907,39.7589478,-84.1916069
Dayton,USA,US,,,Dayton U. Res. Inst.,,39.740474,-84.180337,45469,906200,39.7589478,-84.1916069
Golden,USA,US,,,"Natl. Renew. Energy Lab, Golden",,39.74276,-105.152569,80401,906384,39.755543,-105.2210997
Wilmington,USA,US,,,"Dupont, Wilmington",,39.745833,-75.546944,19898,905230,34.2257255,-77.9447102
Denver,USA,US,,,"P-S Enterprises, Denver",,39.749107,-104.994591,80202,906413,39.7392358,-104.990251
Denver,USA,US,,"U. Colorado, Denver","Colorado U., Denver",University of Colorado at Denver,39.7541032,-105.0002242,80202,904703,39.7392358,-104.990251
Golden,USA,US,,,"Rockwell Intl., Golden",,39.755556,-105.220556,80402,905399,39.755543,-105.2210997
Golden,USA,US,,,"EGG, Rocky Flats",,39.755556,-105.220556,80402,907394,39.755543,-105.2210997
Dayton,USA,US,,,Sinclair Community Coll.,,39.756305,-84.189508,45402,905669,39.7589478,-84.1916069
Bennett,USA,US,,,Antelope Hills Observ.,,39.7588736,-104.4274609,80102,911068,39.7588736,-104.4274609
Dayton,USA,US,,,Wright State U.,,39.758889,-84.191667,45435,907462,39.7589478,-84.1916069
Springfield,USA,US,,,"Hanson Inc., Springfield",,39.764682,-89.6345796,62703,911587,42.1014831,-72.589811
Indianapolis,USA,US,,"IUPUI, Indianapolis","Indiana U.-Purdue U., Indianapolis",Indiana University-Purdue University Indianapolis (IUPUI),39.773121,-86.170184,46205,902876,39.768403,-86.158068
